_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2023,1,A2610,GALDAKAO - UPV/EHU,6316,342,27,180,1,0,0,0,0,1502,97,7,748,85,0,121,1,17,0,0,0,81,9525
2,2023,1,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,3158,146,6,231,0,0,0,0,0,754,75,0,289,17,1,80,0,23,0,0,0,47,4827
3,2023,1,A3613,BILBAO - UGAO MIRABALLES - OROZKO,16032,353,76,7440,16,0,0,0,0,724,37,0,548,94,38,1236,1,704,20,0,0,463,27782
4,2023,1,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,6090,64,17,2091,4,0,0,0,0,233,4,3,141,9,34,370,0,168,0,0,0,83,9311
5,2023,1,A3631,BILBAO - GALDAKAO - LARRABETZU,21290,415,103,5581,18,4,0,0,0,951,171,2,952,155,5,911,4,433,13,0,0,505,31513
6,2023,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2749,50,11,1040,3,0,0,0,0,163,5,0,144,3,4,110,0,56,2,0,0,152,4492
7,2023,1,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,26105,613,192,10610,46,3,0,0,0,1091,65,4,1036,89,8,1665,0,503,13,0,0,228,42271
8,2023,1,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),11557,150,54,4738,24,0,0,0,0,543,27,1,321,6,2,423,0,216,5,0,0,111,18178
9,2023,1,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,32660,1002,283,8215,30,7,0,0,0,2710,282,29,1259,187,123,1678,1,438,8,0,0,257,49169
10,2023,1,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,30161,810,261,7526,48,27,0,0,0,1622,176,15,825,109,10,1786,3,384,11,0,0,371,44145
11,2023,1,A3913,Arrazola - DURANGO,5660,232,51,2024,0,0,0,0,0,881,88,21,310,55,56,330,0,107,0,0,0,33,9848
12,2023,1,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,23231,731,192,4249,9,0,0,0,0,969,47,18,1544,80,154,958,2,284,1,0,0,268,32737
13,2023,1,A3923,BILBAO - DURANGO - ELORRIO (Autopista),35056,1425,377,5697,34,1,0,0,0,2542,419,73,1348,156,157,1896,4,397,5,0,0,112,49699
14,2023,1,A3924,ERMUA - DURANGO - UPV/EHU,4897,376,42,155,0,0,0,0,0,1274,163,40,198,39,0,95,0,2,0,0,0,18,7299
15,2023,1,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,14630,374,55,3219,10,0,0,0,0,659,41,3,621,38,94,600,0,202,2,0,0,188,20736
16,2023,1,A3926,BILBAO - ERMUA - EIBAR (Autopista),24461,543,97,2573,2,18,0,0,0,1009,138,27,517,29,1,1941,22,349,12,0,0,63,31802
93,2023,1,A3530,MUNGIA - MEÃAKA - ARRIETA,205,19,,61,,,,,,1,1,,13,,,13,,0,,,,13,326
17,2023,1,A3927,BILBAO - LEMOA - ZEANURI (Autopista),10975,478,132,1645,15,0,0,0,0,726,38,16,1137,104,70,472,2,179,0,0,0,144,16133
18,2023,1,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1112,20,0,702,0,0,0,0,0,3,0,0,25,0,0,117,0,0,0,0,0,7,1986
19,2023,1,A3930,BILBAO - GALDAKAO (Autopista),17466,318,32,2837,40,0,0,0,0,1731,97,28,1162,144,40,341,0,169,8,0,0,208,24621
20,2023,1,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50
21,2023,1,A3932,GALDAKAO - Metro Bolueta,30419,580,210,9958,62,10,0,0,0,5,1,0,10,0,0,354,0,746,20,11652,0,221,54248
22,2023,1,A3933,BILBAO - DURANGO (Autopista),25420,1221,141,3433,43,1,0,0,0,2240,262,2,1300,185,100,739,4,150,12,0,0,111,35364
23,2023,1,A3512,BILBAO - LEKEITIO (Autopista),17984,689,162,2843,16,1,,,,1554,209,46,377,38,20,915,3,152,8,0,0,117,25134
24,2023,1,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,7760,302,20,2302,,7,,,,246,70,,310,5,1,480,1,56,2,0,0,48,11610
25,2023,1,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,24570,895,60,4042,23,,,,,1007,75,11,1334,92,15,692,0,180,5,0,0,169,33170
26,2023,1,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,39603,1317,141,8371,46,,,,,2222,260,27,1745,257,19,1654,0,357,12,0,0,226,56257
27,2023,1,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,5501,136,6,1763,1,,,,,202,2,,222,8,1,430,0,38,0,0,0,32,8342
28,2023,1,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,2342,197,17,35,,,,,,521,34,1,162,14,,58,0,7,0,0,0,2,3390
29,2023,1,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,1682,60,29,353,,8,,,,42,63,,66,,,128,0,12,0,0,0,47,2490
30,2023,1,A3532,GERNIKA LUMO - NABARNIZ,53,2,,10,,,,,,,,,,,,4,0,0,0,0,0,0,69
31,2023,1,A3533,GERNIKA LUMO - MENDATA,44,,,2,,,,,,,,,,,,0,0,0,0,0,0,0,46
32,2023,1,A3534,GERNIKA LUMO - ERRIGOITI,24,1,,4,,,,,,,,,,,,0,0,0,0,0,0,0,29
33,2023,1,A3535,LEKEITIO - AMOROTO,151,,,7,,,,,,,,,,,,6,0,0,0,0,0,0,164
34,2023,1,A3536,LEKEITIO - MENDEXA,55,4,,,,,,,,,,,,,,11,0,0,0,0,0,0,70
35,2023,1,A3538,LEKEITIO-Barainka,14,,,,,,,,,,,,,,,0,0,0,0,0,0,0,14
36,2023,1,A3915,BILBAO - DURANGO - ONDARROA (Autopista),23199,886,175,6683,35,2,,,,1015,114,10,609,55,53,1802,2,421,10,0,0,129,35200
54,2023,1,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,2695,39,6,1291,,,,,,133,7,,114,15,,114,0,59,6,0,0,102,4.581
37,2023,1,A3916,BILBAO - ERMUA - ONDARROA (Autopista),15865,545,72,2497,14,1,,,,685,82,22,408,71,6,1016,1,235,8,0,0,140,21668
38,2023,1,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,218,,,16,,,,,,2,,,28,,,5,0,0,0,0,0,0,269
39,2023,1,A2312,Zabalburu - UPV/EHU  (Juan de Garay),7706,502,19,29,,,,,,649,98,2,275,48,28,162,0,3,0,0,0,30,9.551
40,2023,1,A2314,BILBAO - Erandiogoikoa - UPV/EHU,15721,1175,75,268,22,,,,,1313,122,2,728,48,23,287,0,11,2,0,0,62,19.859
41,2023,1,A2318,Termibus - UPV/EHU (Autopista),23692,1669,197,208,14,,,,,2695,326,9,1477,253,2,614,3,47,2,0,0,205,31.413
42,2023,1,A2321,Santutxu - UPV/EHU (Autopista),6160,541,11,25,10,,,,,1049,83,7,465,70,,91,0,16,0,0,0,66,8.594
43,2023,1,A2324,BILBAO - UPV/EHU (Enekuri),3984,245,24,6,1,,,,,325,34,,149,3,5,84,0,0,0,0,0,22,4.882
44,2023,1,A3115,BILBAO - SANTURTZI,25234,468,111,7908,52,7,,,,671,102,16,772,108,17,1530,11,1060,53,0,0,1302,39.422
45,2023,1,A3122,BILBAO - SESTAO - Errepelega/Repelega,9500,252,87,3005,24,8,,,,263,10,4,319,34,1,451,1,586,31,0,0,480,15.056
46,2023,1,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,53082,1231,331,16357,32,32,,,,2270,152,18,2697,247,19,2701,34,2246,48,0,0,2981,84.478
47,2023,1,A3135,SESTAO - Cabieces,22532,508,49,10135,29,2,,,,533,84,11,482,40,3,1132,2,1342,20,0,0,1341,38.245
48,2023,1,A3136,BILBAO - BARAKALDO - SANTURTZI,53298,1144,424,14649,80,35,,,,2017,242,11,2988,353,56,3088,17,2381,67,0,0,2463,83.313
49,2023,1,A3137,BILBAO - BARAKALDO,15662,320,35,4406,81,,,,,400,56,21,540,47,3,667,0,714,28,0,0,985,23.965
50,2023,1,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,18542,397,41,6855,28,7,,,,1268,99,5,790,55,4,1082,0,799,17,0,0,1148,31.137
51,2023,1,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),30639,963,144,5248,42,11,,,,1167,85,10,1386,116,15,1621,0,1008,20,0,0,1321,43.796
52,2023,1,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),11697,310,44,1479,4,1,,,,378,10,,135,3,,185,0,150,1,0,0,605,15.002
53,2023,1,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,10199,356,27,3303,,3,,,,729,137,2,394,71,14,603,0,245,2,0,0,312,16.397
92,2023,1,A3529,MUNGIA - GAMIZ - FIKA,414,17,2,96,,,,,,,,,24,,,6,,1,,,,32,592
55,2023,1,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,16606,345,19,4951,1,9,,,,944,124,1,1245,58,1,658,1,328,11,0,0,615,25.917
56,2023,1,A3333,Gallarta - SANTURTZI,25479,696,120,8957,7,5,,,,1936,324,2,1698,212,13,2224,4,591,56,0,0,914,43.238
57,2023,1,A3335,MUSKIZ - ZIERBENA - SESTAO,8243,163,80,3835,1,,,,,450,18,2,486,24,13,580,1,249,14,0,0,437,14.596
58,2023,1,A3336,BILBAO - MUSKIZ,38780,1184,141,10778,67,9,,,,2501,249,6,1998,139,45,2863,3,1252,42,0,0,1806,61.863
59,2023,1,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,29457,732,107,8785,12,8,,,,1982,198,0,1698,182,48,1699,3,587,6,0,0,746,46.250
60,2023,1,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
61,2023,1,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),9837,356,23,2427,,,,,,443,119,,342,89,120,475,1,122,9,0,0,641,15.004
62,2023,1,A3521,BILBAO - Hospital Santa Marina Ospitalea,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
63,2023,1,A0651,BILBAO - BALMASEDA,39752,1083,304,9252,182,0,0,0,0,2823,336,0,4209,670,113,1701,31,567,7,0,0,710,61740
64,2023,1,A0652,LANESTOSA - BALMASEDA,1742,15,0,801,0,0,0,0,0,110,13,0,20,3,3,590,2,31,1,0,0,10,3341
65,2023,1,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,202,0,0,282,0,0,0,0,0,0,0,0,0,0,0,396,0,5,1,0,0,1,887
66,2023,1,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,4378,83,16,1519,19,0,0,0,0,303,20,0,392,17,13,194,2,104,1,0,0,65,7126
67,2023,1,A3323,PORTUGALETE - GALDAMES,2207,50,4,872,1,0,0,0,0,92,7,0,169,9,0,125,0,21,0,0,0,47,3604
