_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
331,2022,2022-07-25 08:00:04,A0651,BILBAO - BALMASEDA,Negua,Festivo,23,30,690,15,345,15,345
332,2022,2022-07-25 08:00:04,A0651,BILBAO - BALMASEDA,Negua,Laborable,118,60,7080,30,3540,30,3540
333,2022,2022-07-25 08:00:04,A0651,BILBAO - BALMASEDA,Negua,Sabado,23,32,736,16,368,16,368
334,2022,2022-07-25 08:00:04,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Festivo,7,30,210,15,105,15,105
335,2022,2022-07-25 08:00:04,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Laborable,7,60,420,30,210,30,210
336,2022,2022-07-25 08:00:04,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Sabado,2,32,64,16,32,16,32
337,2022,2022-07-25 08:00:04,A0651,BILBAO - BALMASEDA,Gabonak (25 -1),Festivo,1,19,19,10,10,9,9
338,2022,2022-07-25 08:00:04,A0652,LANESTOSA - BALMASEDA,Negua,Festivo,30,4,120,2,60,2,60
339,2022,2022-07-25 08:00:04,A0652,LANESTOSA - BALMASEDA,Negua,Laborable,125,14,1750,7,875,7,875
340,2022,2022-07-25 08:00:04,A0652,LANESTOSA - BALMASEDA,Negua,Sabado,25,4,100,2,50,2,50
341,2022,2022-07-25 08:00:04,A0652,LANESTOSA - BALMASEDA,Gabonak (25 -1),Festivo,1,4,4,2,2,2,2
342,2022,2022-07-25 08:00:04,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,Bakarra,Laborable,125,14,1750,7,875,7,875
343,2022,2022-07-25 08:00:04,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,Negua Instituturik gabe,Laborable,7,26,182,14,98,12,84
344,2022,2022-07-25 08:00:04,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Eskola-egunak,Laborable,99,26,2574,14,1386,12,1188
345,2022,2022-07-25 08:00:04,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Ez Eskolakoa,Laborable,19,26,494,14,266,12,228
346,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Festivo,2,16,32,8,16,8,16
347,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Laborable,3,35,105,18,54,17,51
348,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Sabado,0,16,0,8,0,8,0
349,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,Negua - (M1),Festivo,8,16,128,8,64,8,64
350,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,Negua - (M1),Laborable,23,35,805,18,414,17,391
351,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,Negua - (M1),Sabado,5,16,80,8,40,8,40
352,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Festivo,6,16,96,8,48,8,48
353,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Laborable,26,35,910,18,468,17,442
354,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Sabado,6,16,96,8,48,8,48
355,2022,2022-07-25 08:00:04,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak - (M1),Festivo,14,16,224,8,112,8,112
